County,Type,Facility Name,Street Address,City,State,ZIP,Location
Kings,Pharmacy Only,Duane Reade #14128,Fulton St,Brooklyn,NY,11201,"Fulton St
Brooklyn, NY 11201
(40.690243096000074, -73.98430946699995)"
Kings,Grocery,"Lee Ave. Supermarket, Inc.",Lee Ave,Brooklyn,NY,11211,"Lee Ave
Brooklyn, NY 11211
(40.704744756000025, -73.95884080099995)"
Queens,Grocery,Shop Fair Supermarket Supermarket,Beach Channel Drive,Far Rockaway,NY,11691,"Beach Channel Drive
Far Rockaway, NY 11691
(40.60284300500007, -73.75807255999996)"
Kings,Grocery,"Karim 1 Stop Mini Mart, Inc.",5th Ave,Brooklyn,NY,11209,"5th Ave
Brooklyn, NY 11209
(40.62412676900004, -74.02483198499993)"
Nassau,Grocery w/ Pharmacy inside,Stop & Shop #2588,Merrick Ro,Seaford,NY,11783,"Merrick Ro
Seaford, NY 11783
(40.66531914700005, -73.49369423999997)"
Bronx,Grocery,Compare Foods,East Tremont Avenue,Bronx,NY,10453,"East Tremont Avenue
Bronx, NY 10453
(40.84977742500007, -73.90619732199997)"
Queens,Pharmacy Only,Medicmasters Pharmacy & Surgical Su,Jamaica Avenue,Jamaica,NY,11432,"Jamaica Avenue
Jamaica, NY 11432
(40.70641307900007, -73.79248723899997)"
New York,Grocery,Thrifty Deli Supermarket,Broadway,New York,NY,10027,"Broadway
New York, NY 10027
(40.81811448800005, -73.95639864899994)"
Queens,Grocery (Formula Allowed),Key Food,90th Street,Jackson Heights,NY,11372,"90th Street
Jackson Heights, NY 11372
(40.75238434600004, -73.87720620799996)"
Onondaga,Grocery (Formula Allowed),Byrne Dairy #79,East Genesee St,Baldwinsville,NY,13027,"East Genesee St
Baldwinsville, NY 13027
(43.15998168800007, -76.32468399899994)"
Queens,Pharmacy Only,Family Pharmacy,Metropolitan Ave,Forest Hills,NY,11375,"Metropolitan Ave
Forest Hills, NY 11375
(40.71042845100004, -73.85063254099998)"
Orange,Grocery,Peppermint Supermarket,Dinev Road,Monroe,NY,10950,"Dinev Road
Monroe, NY 10950
(41.33765100100004, -74.15817020599997)"
Westchester,Grocery,Good Food Deli & Grocery Inc.,S. Broadway,Yonkers,NY,10705,"S. Broadway
Yonkers, NY 10705
(40.91909889600004, -73.89638091799998)"
Bronx,Grocery,Omale New York Grocery Corp,Crotona Avenue,Bronx,NY,10457,"Crotona Avenue
Bronx, NY 10457
(40.844447880000075, -73.89194793499996)"
Bronx,Pharmacy Only,Walgreens #7627,Boston Rd,Bronx,NY,10469,"Boston Rd
Bronx, NY 10469
(40.874940140000035, -73.85148480299995)"
Nassau,Grocery (Formula Allowed),Target Store T-1139,Corporate Drive,Westbury,NY,11590,"Corporate Drive
Westbury, NY 11590
(40.74159679600007, -73.59337332999996)"
Erie,Grocery w/ Pharmacy inside,Tops Market #213,S Park Ave,Buffalo,NY,14220,"S Park Ave
Buffalo, NY 14220
(42.85060085200007, -78.82443862699995)"
Richmond,Grocery,226 Jimmy Deli Grocery Corp,Van Duzer Street,Staten Island,NY,10301,"Van Duzer Street
Staten Island, NY 10301
(40.63504007500006, -74.07647636999997)"
Saratoga,Grocery w/ Pharmacy inside,Hannaford Supermarket & Pharm #8365,Clifton County Road,Clifton Park,NY,12065,"Clifton County Road
Clifton Park, NY 12065
(42.86329870800006, -73.78084992699996)"
Saratoga,Grocery (Formula Allowed),Tops #700,Main Street,Corinth,NY,12822,"Main Street
Corinth, NY 12822
(43.22721829200003, -73.82215187299994)"
Westchester,Grocery,C-Town Supermarkets,North Broadway,Tarrytown,NY,10591,"North Broadway
Tarrytown, NY 10591
(41.09933354100008, -73.86153507099993)"
Bronx,Grocery,Associated,East 161st Street,Bronx,NY,10456,"East 161st Street
Bronx, NY 10456
(40.821637113000065, -73.90603840199998)"
Queens,Grocery,"Family Foods Market, Inc.",Beach 25th St,Far Rockaway,NY,11691,"Beach 25th St
Far Rockaway, NY 11691
(40.59409988900006, -73.75829187299996)"
Kings,Pharmacy Only,Hoyt Pharmacy & Surgical Supplies,Atlantic Avenue,Brooklyn,NY,11208,"Atlantic Avenue
Brooklyn, NY 11208
(40.68086066400008, -73.87471318599995)"
Ontario,Grocery (Formula Allowed),Tops Market #433,Kendall St,Clifton Springs,NY,14432,"Kendall St
Clifton Springs, NY 14432
(42.965840308000054, -77.13991880599997)"
Suffolk,Pharmacy Only,CVS Pharmacy #6023,West Main Street,Smithtown,NY,11787,"West Main Street
Smithtown, NY 11787
(40.85827862600007, -73.21327009699996)"
Wayne,Grocery w/ Pharmacy inside,Walmart Supercenter #1813,Ny-31,Newark,NY,14513,"Ny-31
Newark, NY 14513
(43.046663565000074, -77.13441679699997)"
Westchester,Grocery,La Placita Market Corp,Park Street,Peekskill,NY,10566,"Park Street
Peekskill, NY 10566
(41.29144344900004, -73.91147452599995)"
Orange,Grocery w/ Pharmacy inside,Hannaford Supermarket & Pharm #8344,Ted Drive,Pine Bush,NY,12566,"Ted Drive
Pine Bush, NY 12566
(41.60362645300006, -74.29876968199994)"
Kings,Pharmacy Only,The Modern Chemist,Coney Island Ave,Brooklyn,NY,11230,"Coney Island Ave
Brooklyn, NY 11230
(40.622635510000066, -73.96477307099997)"
Queens,Grocery (Formula Allowed),Bravo Supermarket,Jamaica Avenue,Richmond Hill,NY,11418,"Jamaica Avenue
Richmond Hill, NY 11418
(40.699602678000076, -73.83230121699995)"
Suffolk,Grocery w/ Pharmacy inside,Stop & Shop #562,North Ocean Avenue,Farmingville,NY,11738,"North Ocean Avenue
Farmingville, NY 11738
(40.83227307300007, -73.02133209399994)"
Queens,Grocery,Happy Mart Inc.,Corona Avenue,Corona,NY,11368,"Corona Avenue
Corona, NY 11368
(40.74410712000008, -73.85959164999997)"
Queens,Grocery,Orchard Fine Foods,Queens Bo,Forest Hills,NY,11375,"Queens Bo
Forest Hills, NY 11375
(40.724919631000034, -73.85000377199998)"
Oneida,Grocery w/ Pharmacy inside,Price Chopper #26,Genesee St,Utica,NY,13501,"Genesee St
Utica, NY 13501
(43.088288996000074, -75.25793283299998)"
Kings,Grocery,Lucky Sunshine Grocery Inc,14th Av Ste A,Brooklyn,NY,11219,"14th Av Ste A
Brooklyn, NY 11219
(40.630274556000074, -73.99347541899994)"
Ontario,Grocery w/ Pharmacy inside,Wegmans Food & Pharmacy #11,Eastern Blvd,Canandaigua,NY,14424,"Eastern Blvd
Canandaigua, NY 14424
(42.871162223000056, -77.23783977599999)"
Kings,Pharmacy Only,Yafit Pharmacy,Avenue U,Brooklyn,NY,11223,"Avenue U
Brooklyn, NY 11223
(40.59703736800003, -73.97262073899998)"
Kings,Grocery,Strawberry Field & Farm Corp.,5th Av,Brooklyn,NY,11220,"5th Av
Brooklyn, NY 11220
(40.641167858000074, -74.01440181099997)"
Kings,Grocery,C-Town Supermarkets,Avenue U,Brooklyn,NY,11223,"Avenue U
Brooklyn, NY 11223
(40.59703736800003, -73.97262073899998)"
Nassau,Grocery (Formula Allowed),Stop & Shop #578,Burnside Avenue,Inwood,NY,11096,"Burnside Avenue
Inwood, NY 11096
(40.62284530900007, -73.74232263299996)"
Suffolk,Grocery (Formula Allowed),Target Store T-2847,Sunrise Highway,Sayville,NY,11782,"Sunrise Highway
Sayville, NY 11782
(40.769395032000034, -73.06446991099995)"
Westchester,Grocery (Formula Allowed),Stop & Shop # 2502,South Highland Ave,Ossining,NY,10562,"South Highland Ave
Ossining, NY 10562
(41.15325599300007, -73.85969991499996)"
Ulster,Grocery (Formula Allowed),Hannaford Supermarket #8444,State Route 375,West Hurley,NY,12491,"State Route 375
West Hurley, NY 12491
(42.016819707000025, -74.10567331999994)"
Bronx,Grocery,D&a Deli Grocery Corp.,Valentine Av,Bronx,NY,10458,"Valentine Av
Bronx, NY 10458
(40.86975354100008, -73.88952179599994)"
Westchester,Grocery (Formula Allowed),Acme #2417,Mclean Avenue,Yonkers,NY,10704,"Mclean Avenue
Yonkers, NY 10704
(40.90520823000003, -73.86974111199999)"
Rockland,Grocery (Formula Allowed),Stop & Shop #596,North Main St,New City,NY,10956,"North Main St
New City, NY 10956
(41.155547573000035, -74.03407145499995)"
Suffolk,Grocery,C-Town Supermarkets,Wheeler Road,Central Islip,NY,11722,"Wheeler Road
Central Islip, NY 11722
(40.79677721000007, -73.20730397999995)"
Nassau,Pharmacy Only,CVS Pharmacy #2134,Jerusalem Avenue,Bellmore,NY,11710,"Jerusalem Avenue
Bellmore, NY 11710
(40.691281410000045, -73.53792421499998)"
Queens,Grocery,"Perez Brothers Meat Market, Inc.",Sutphin Bo,Jamaica,NY,11435,"Sutphin Bo
Jamaica, NY 11435
(40.695350579000035, -73.80327435799995)"
Onondaga,Grocery,Byrne Dairy #129 Solvay,W. Genesee St,Syracuse,NY,13219,"W. Genesee St
Syracuse, NY 13219
(43.04792202500005, -76.22342613999996)"
Kings,Grocery,Yidels Shopping Cart,12th Av,Brooklyn,NY,11219,"12th Av
Brooklyn, NY 11219
(40.62703690400008, -74.00400308799993)"
Kings,Grocery,City Plaza Meat Ii Corp.,Sutter Av,Brooklyn,NY,11207,"Sutter Av
Brooklyn, NY 11207
(40.66974135700008, -73.89273435099994)"
Monroe,Grocery w/ Pharmacy inside,Walmart Supercenter #1619,Market Place Dr,Henrietta,NY,14467,"Market Place Dr
Henrietta, NY 14467
(43.08002369500008, -77.62466886799996)"
Kings,Pharmacy Only,Lane Drugs,13th Ave,Brooklyn,NY,11219,"13th Ave
Brooklyn, NY 11219
(40.63158039700005, -73.99565512699996)"
Kings,Grocery,Angelisa Food Corp.,Tompkins Ave,Brooklyn,NY,11216,"Tompkins Ave
Brooklyn, NY 11216
(40.68602497400008, -73.94446211299999)"
Kings,Grocery,P & M Deli And Grocery Corp.,3rd Av,Brooklyn,NY,11220,"3rd Av
Brooklyn, NY 11220
(40.64558673700003, -74.01697716999996)"
Warren,Grocery (Formula Allowed),Tops #716,Main St,North Creek,NY,12853,"Main St
North Creek, NY 12853
(43.69595167600005, -73.98540063099995)"
Suffolk,Grocery,ShopRite Of Patchogue,Sunrise Highway,Patchogue,NY,11772,"Sunrise Highway
Patchogue, NY 11772
(40.78352939500007, -72.98031612799997)"
Westchester,Grocery,City Fresh Market,West Post Road,White Plains,NY,10606,"West Post Road
White Plains, NY 10606
(41.020835969000075, -73.77572395299995)"
Kings,Grocery,Flatbush Supermarket Kosher,Coney Island Av,Brooklyn,NY,11230,"Coney Island Av
Brooklyn, NY 11230
(40.622635510000066, -73.96477307099997)"
Nassau,Grocery,Galafresh Farms,Grand Avenue,Baldwin,NY,11510,"Grand Avenue
Baldwin, NY 11510
(40.65796646100006, -73.60864172399994)"
Tioga,Grocery,Sweeney's Market,State Route 434,Apalachin,NY,13732,"State Route 434
Apalachin, NY 13732
(42.07772231400003, -76.15762414499994)"
Rockland,Grocery,Hatzlacha Grocery Corp.,West St,Spring Valley,NY,10977,"West St
Spring Valley, NY 10977
(41.11402691100005, -74.05077856499997)"
Kings,Grocery,King Hwy Meat Corp.,East 16th St,Brooklyn,NY,11229,"East 16th St
Brooklyn, NY 11229
(40.60771140300005, -73.95714199899999)"
Kings,Grocery,"All Fresh Supermarket, Inc.",Harrison Ave,Brooklyn,NY,11211,"Harrison Ave
Brooklyn, NY 11211
(40.70568693100006, -73.95330900699997)"
Kings,Grocery (Formula Allowed),Target Store T-1849,Flatbush Avenue,Brooklyn,NY,11217,"Flatbush Avenue
Brooklyn, NY 11217
(40.68319800300003, -73.97682529799994)"
Kings,Grocery,Stuyvesant Deli Grocery Corp.,Stuyvesant Ave,Brooklyn,NY,11221,"Stuyvesant Ave
Brooklyn, NY 11221
(40.690628659000026, -73.93357689999993)"
Suffolk,Grocery,Cherry Valley Marketplace,E. Suffolk Avenue,Central Islip,NY,11722,"E. Suffolk Avenue
Central Islip, NY 11722
(40.79062526800004, -73.20199858099994)"
New York,Grocery,El Nuevo Renacer Deli Grocery Corp.,Audubon Avenue,New York,NY,10032,"Audubon Avenue
New York, NY 10032
(40.84118608000006, -73.93785789799995)"
Warren,Grocery w/ Pharmacy inside,Hannaford Food & Drug #8374,Broad St,Glens Falls,NY,12801,"Broad St
Glens Falls, NY 12801
(43.30562409800007, -73.65521715799997)"
Nassau,Grocery,Key Food #448,Carmans Rd,Massapequa,NY,11758,"Carmans Rd
Massapequa, NY 11758
(40.70102853600008, -73.43294353499994)"
New York,Pharmacy Only,Duane Reade #14101,Broadway,New York,NY,10006,"Broadway
New York, NY 10006
(40.70867005100007, -74.01089490599998)"
Rockland,Grocery,Food Fair Supermarket,Route 59,Spring Valley,NY,10977,"Route 59
Spring Valley, NY 10977
(41.108255471000064, -74.03952272899994)"
Montgomery,Grocery w/ Pharmacy inside,Walmart Supercenter #2146,Sanford Farms Shopping Center,Amsterdam,NY,12010,"Sanford Farms Shopping Center
Amsterdam, NY 12010
(42.964807086000064, -74.18454897999999)"
Bronx,Grocery,La Potencia Deli-Grocery,East 167th Street,Bronx,NY,10456,"East 167th Street
Bronx, NY 10456
(40.83123648900005, -73.91327445399997)"
Bronx,Grocery (Formula Allowed),Bravo Supermarket,East 170th Street,Bronx,NY,10456,"East 170th Street
Bronx, NY 10456
(40.83469999600004, -73.90219093699994)"
Kings,Grocery,Mckinley Deli And Grocery Corp,Mckinley Avenue,Brooklyn,NY,11208,"Mckinley Avenue
Brooklyn, NY 11208
(40.680195473000026, -73.86928099499994)"
Kings,Grocery,"L & E Supermarket & Deli, Inc.",4th Av,Brooklyn,NY,11220,"4th Av
Brooklyn, NY 11220
(40.64829435900003, -74.01058978999998)"
Bronx,Grocery,Key Food,Gerard Avenue,Bronx,NY,10452,"Gerard Avenue
Bronx, NY 10452
(40.832899902000065, -73.92176731399996)"
New York,Pharmacy Only,Walgreens #11962,Broadway,New York,NY,10036,"Broadway
New York, NY 10036
(40.75816972700005, -73.98546223999995)"
Lewis,Grocery w/ Pharmacy inside,Walmart Supercenter #5498,State Route 12,Lowville,NY,13367,"State Route 12
Lowville, NY 13367
(43.806266384000025, -75.55951591699994)"
Albany,Grocery w/ Pharmacy inside,Walmart Supercenter #1997,Loudon Road,Latham,NY,12110,"Loudon Road
Latham, NY 12110
(42.745690472000035, -73.76144872599997)"
Onondaga,Grocery,Nojaims Bros. Of Marcellus,E Main St,Marcellus,NY,13108,"E Main St
Marcellus, NY 13108
(42.982551983000064, -76.33796021699999)"
Queens,Pharmacy Only,Walgreens #04319,Broadway,Elmhurst,NY,11373,"Broadway
Elmhurst, NY 11373
(40.74279338200006, -73.88258798999993)"
Allegany,Grocery,Fillmore Shop 'n Save,South Genesee St,Fillmore,NY,14735,"South Genesee St
Fillmore, NY 14735
(42.46323601900008, -78.11228338699993)"
Monroe,Grocery w/ Pharmacy inside,Wegmans Food Market #18,East Ave,Rochester,NY,14610,"East Ave
Rochester, NY 14610
(43.14618364200004, -77.55823974299994)"
Erie,Grocery,Save-A-Lot Lancaster,Aurora St.,Lancaster,NY,14086,"Aurora St.
Lancaster, NY 14086
(42.88066732900006, -78.67672897499995)"
Queens,Pharmacy Only,Duane Reade #14206,Beach Channel Dr,Far Rockaway,NY,11694,"Beach Channel Dr
Far Rockaway, NY 11694
(40.582671583000035, -73.83516872199993)"
Bronx,Grocery,Cruz Food Market Llc,East 198th Street,Bronx,NY,10458,"East 198th Street
Bronx, NY 10458
(40.86827801900006, -73.88800790499994)"
New York,Grocery,Cherry Valley Market Place,Second Ave,New York,NY,10029,"Second Ave
New York, NY 10029
(40.79062615300006, -73.94243272299997)"
Orange,Grocery w/ Pharmacy inside,Stop & Shop #528,Route 300,Newburgh,NY,12550,"Route 300
Newburgh, NY 12550
(41.548185395000075, -74.06336974299995)"
Kings,Grocery,J & J Grocery,Coney Island Av,Brooklyn,NY,11230,"Coney Island Av
Brooklyn, NY 11230
(40.622635510000066, -73.96477307099997)"
Erie,Grocery w/ Pharmacy inside,Tops Market #131,Thruway Plaza Drive,Cheektowaga,NY,14225,"Thruway Plaza Drive
Cheektowaga, NY 14225
(42.90427000400007, -78.77620468699996)"
Onondaga,Grocery w/ Pharmacy inside,Price Chopper #174,Onondaga Blvd,Syracuse,NY,13219,"Onondaga Blvd
Syracuse, NY 13219
(43.02640330600008, -76.21027719399996)"
Broome,Grocery,Windsor Big M,Chapel Street,Windsor,NY,13865,"Chapel Street
Windsor, NY 13865
(42.07577730700007, -75.63908316299995)"
New York,Grocery (Formula Allowed),Food Universe Marketplace,Nagle Avenue,New York,NY,10040,"Nagle Avenue
New York, NY 10040
(40.860389386000065, -73.92801558499997)"
Bronx,Grocery,"Fruit Market Of Kings, Llc",Perry Avenue,Bronx,NY,10467,"Perry Avenue
Bronx, NY 10467
(40.87563711000007, -73.87639624799993)"
Bronx,Grocery,Santiago Grocery,West Tremont Avenue,Bronx,NY,10453,"West Tremont Avenue
Bronx, NY 10453
(40.85341694700003, -73.91978697999997)"
Cayuga,Grocery,Cato Shur Fine Grocery Store,South Street,Cato,NY,13033,"South Street
Cato, NY 13033
(43.163135527000065, -76.57167745999999)"
Bronx,Grocery (Formula Allowed),Target #2475,Exterior St,Bronx,NY,10451,"Exterior St
Bronx, NY 10451
(40.82179377800003, -73.93083174099996)"
Broome,Grocery,Schneider's Of Kirkwood,Route 11,Kirkwood,NY,13795,"Route 11
Kirkwood, NY 13795
(42.03933972500005, -75.79445165799996)"
Kings,Grocery,Key Food,Nostrand Avenue,Brooklyn,NY,11216,"Nostrand Avenue
Brooklyn, NY 11216
(40.679793311000026, -73.94956970599998)"
Essex,Grocery (Formula Allowed),Hannaford Supermarket #8413,Hadjis Way,Lake Placid,NY,12946,"Hadjis Way
Lake Placid, NY 12946
(44.29652856000007, -73.99906492999997)"
Warren,Grocery (Formula Allowed),Price Rite Queensbury #228,Upper Glen St Ste 4,Queensbury,NY,12804,"Upper Glen St Ste 4
Queensbury, NY 12804
(43.32736151900008, -73.66730286399996)"
Chautauqua,Grocery,Kennedy Supermarket,Ny-394,Kennedy,NY,14747,"Ny-394
Kennedy, NY 14747
(42.154175000000066, -79.10105499999997)"
Putnam,Grocery,Julia's Gift Store Llc,Main Street Suite A,Brewster,NY,10509,"Main Street Suite A
Brewster, NY 10509
(41.39462284100006, -73.61549102999999)"
Bronx,Grocery,Mykonos Food Corp,East 175th Street,Bronx,NY,10457,"East 175th Street
Bronx, NY 10457
(40.844048257000054, -73.89642036199996)"
Kings,Pharmacy Only,Brighton Rx Inc.,Brighton Beach Avenue,Brooklyn,NY,11235,"Brighton Beach Avenue
Brooklyn, NY 11235
(40.57767133200008, -73.96119409799996)"
Albany,Grocery w/ Pharmacy inside,Walmart #2152,Washington Ave. Extension,Albany,NY,12205,"Washington Ave. Extension
Albany, NY 12205
(42.69716868300003, -73.84992807599997)"
Niagara,Grocery (Formula Allowed),Target Store T-1012,Niagara Falls Blvd.,Niagara Falls,NY,14304,"Niagara Falls Blvd.
Niagara Falls, NY 14304
(43.09685905200007, -78.94948095499996)"
Queens,Pharmacy Only,Duane Reade #14390,5th St,Long Island City,NY,11101,"5th St
Long Island City, NY 11101
(40.74920998600004, -73.95440952499996)"
Nassau,Pharmacy Only,CVS Pharmacy #541,Sunrise Highway,Rockville Centre,NY,11570,"Sunrise Highway
Rockville Centre, NY 11570
(40.65695037200004, -73.65738316099998)"
Bronx,Pharmacy Only,Kingsbridge Pharmacy,West 231st Street,Bronx,NY,10463,"West 231st Street
Bronx, NY 10463
(40.879527960000075, -73.90600573999996)"
Queens,Grocery w/ Pharmacy inside,Stop & Shop #2581,Cross Bay Blvd,Howard Beach,NY,11414,"Cross Bay Blvd
Howard Beach, NY 11414
(40.625090036000074, -73.82686992999999)"
Bronx,Grocery,Food Dynasty Supermarket,Van Cortlandt Park West,Bronx,NY,10463,"Van Cortlandt Park West
Bronx, NY 10463
(40.88602977100004, -73.89718126199995)"
Kings,Grocery (Formula Allowed),Ideal Food Basket,Lafayette Ave,Brooklyn,NY,11221,"Lafayette Ave
Brooklyn, NY 11221
(40.693049461000044, -73.92639384199998)"
Queens,Pharmacy Only,Walgreens #04058,Astoria Blvd,East Elmhurst,NY,11369,"Astoria Blvd
East Elmhurst, NY 11369
(40.76388074000005, -73.88080869499998)"
Suffolk,Grocery,"Riverhead Food Shop, Inc.",West Main Street,Riverhead,NY,11901,"West Main Street
Riverhead, NY 11901
(40.916754651000076, -72.69070887199996)"
Kings,Grocery (Formula Allowed),C-Town Supermarkets,Manhattan Ave,Brooklyn,NY,11222,"Manhattan Ave
Brooklyn, NY 11222
(40.72827528400006, -73.95336211799997)"
Suffolk,Pharmacy Only,Walgreens #13643,East Main St,East Patchogue,NY,11772,"East Main St
East Patchogue, NY 11772
(40.76667066600004, -73.00034956699994)"
Suffolk,Grocery w/ Pharmacy inside,Stop & Shop # 553,Pond Path,South Setauket,NY,11720,"Pond Path
South Setauket, NY 11720
(40.87923707900006, -73.10480223499997)"
Albany,Pharmacy Only,College Parkside Pharmacy,Lark Drive,Albany,NY,12207,"Lark Drive
Albany, NY 12207
(42.66146246400007, -73.74892261599996)"
Monroe,Grocery w/ Pharmacy inside,Tops Market #429,East Ridge Road,Rochester,NY,14621,"East Ridge Road
Rochester, NY 14621
(43.196724096000025, -77.59547964399997)"
Queens,Grocery,Milk Farm Supermarket,Liberty Av,Ozone Park,NY,11417,"Liberty Av
Ozone Park, NY 11417
(40.68007325700006, -73.84804926299995)"
Queens,Grocery (Formula Allowed),Food Bazaar,Junction Blvd,Corona,NY,11368,"Junction Blvd
Corona, NY 11368
(40.74791791700005, -73.86863255899993)"
New York,Pharmacy Only,Walgreens #6159,4th Ave,New York,NY,10003,"4th Ave
New York, NY 10003
(40.73208101300003, -73.99018717799999)"
Bronx,Pharmacy Only,Leroy Pharmacy,East 204th Street,Bronx,NY,10467,"East 204th Street
Bronx, NY 10467
(40.872131969000066, -73.87777207099998)"
New York,Grocery,C-Town Supermarkets,Avenue C,New York,NY,10009,"Avenue C
New York, NY 10009
(40.731008091000035, -73.97395992399998)"
Kings,Grocery,Los Primos Grocery,Central Av,Brooklyn,NY,11206,"Central Av
Brooklyn, NY 11206
(40.70156614600006, -73.93129344299996)"
Clinton,Grocery,Yando's Big M,Skyway Shopping Center,Plattsburgh,NY,12901,"Skyway Shopping Center
Plattsburgh, NY 12901
(44.681427375000055, -73.45194254099994)"
Suffolk,Grocery,Mattituck Marketplace,Main Road,Mattituck,NY,11952,"Main Road
Mattituck, NY 11952
(40.99246457100003, -72.53107477999998)"
Suffolk,Grocery,ShopRite,Nesconset Highway,Port Jefferson Sta,NY,11776,"Nesconset Highway
Port Jefferson Sta, NY 11776
(40.92249586300005, -73.05034232399998)"
Queens,Grocery,Fine Fare,41st Avenue,Long Island City,NY,11101,"41st Avenue
Long Island City, NY 11101
(40.75295803100005, -73.94041863899997)"
Bronx,Grocery,Compare Foods,East 194th Street,Bronx,NY,10458,"East 194th Street
Bronx, NY 10458
(40.86422834700005, -73.89146800099996)"
Kings,Pharmacy Only,Care Plus Pharmacy,18th Ave,Brooklyn,NY,11204,"18th Ave
Brooklyn, NY 11204
(40.62236551900003, -73.98691683199996)"
Erie,Grocery,Dash's Market-Klein,West Klein Road,Williamsville,NY,14221,"West Klein Road
Williamsville, NY 14221
(43.00217572200006, -78.75009597399998)"
Cortland,Grocery (Formula Allowed),Tops #517,State Route 281,Cortland,NY,13045,"State Route 281
Cortland, NY 13045
(42.60118614700008, -76.20243298099996)"
Kings,Grocery,C-Town Supermarkets,Utica Av,Brooklyn,NY,11213,"Utica Av
Brooklyn, NY 11213
(40.67052547000003, -73.93095507999993)"
Bronx,Grocery,"A & G Deli Grocery, Corp.",Fox Street,Bronx,NY,10459,"Fox Street
Bronx, NY 10459
(40.82282681400005, -73.89388420099993)"
Queens,Grocery (Formula Allowed),Key Food #646,31st St,Astoria,NY,11105,"31st St
Astoria, NY 11105
(40.776001464000046, -73.91085706799998)"
New York,Grocery,Antillana Superfood Marketplace,Broadway,New York,NY,10032,"Broadway
New York, NY 10032
(40.83267936900006, -73.94599652699998)"
Bronx,Grocery,Nunez Cousins Grocery Corp,Watson Avenue,Bronx,NY,10472,"Watson Avenue
Bronx, NY 10472
(40.82766230300007, -73.86646841299995)"
Bronx,Grocery,Bravo Supermarket,Westchester Avenue,Bronx,NY,10455,"Westchester Avenue
Bronx, NY 10455
(40.81612170100004, -73.90852501099994)"
Nassau,Pharmacy Only,CVS Pharmacy #1938,South Oyster Bay Road,Plainview,NY,11803,"South Oyster Bay Road
Plainview, NY 11803
(40.77727943900004, -73.50226569799997)"
Westchester,Grocery,Rey's Grocery,Westchester Avenue,Port Chester,NY,10573,"Westchester Avenue
Port Chester, NY 10573
(41.00500429500005, -73.67587466499998)"
Bronx,Grocery (Formula Allowed),Fine Fare,Boston Road,Bronx,NY,10467,"Boston Road
Bronx, NY 10467
(40.86222457300005, -73.86640863899999)"
Westchester,Pharmacy Only,New Rochelle Pharmacy,Lockwood Avenue,New Rochelle,NY,10801,"Lockwood Avenue
New Rochelle, NY 10801
(40.91310073200003, -73.79190253199994)"
Queens,Grocery,J & P Guyana & West Indian Fish,Liberty Avenue,South Richmond Hil,NY,11419,"Liberty Avenue
South Richmond Hil, NY 11419
(40.68703723500005, -73.82211138799994)"
Erie,Grocery,7-Eleven #35238,Niagara st.,Buffalo,NY,14213,"Niagara st.
Buffalo, NY 14213
(42.91450866900004, -78.89953458999997)"
Suffolk,Grocery w/ Pharmacy inside,Walmart Supercenter #2906,Old Country Ro,Riverhead,NY,11901,"Old Country Ro
Riverhead, NY 11901
(40.92980638200004, -72.68163137899995)"
Suffolk,Pharmacy Only,CVS Pharmacy #1222,Deer Park Avenue,Deer Park,NY,11729,"Deer Park Avenue
Deer Park, NY 11729
(40.75021415100008, -73.32494473199995)"
Queens,Grocery,Mp Mini Market Corp.,90th Ave,Jamaica,NY,11435,"90th Ave
Jamaica, NY 11435
(40.70333082600007, -73.80679708599996)"
Tompkins,Grocery (Formula Allowed),Byrne Dairy #41,North Meadow Street,Ithaca,NY,14850,"North Meadow Street
Ithaca, NY 14850
(42.446019216000025, -76.50853738799998)"
Kings,Grocery,Country Butcher Corp.,Avenue L,Brooklyn,NY,11236,"Avenue L
Brooklyn, NY 11236
(40.63742300000007, -73.89722304699995)"
Kings,Pharmacy Only,Kingsbay Chemists Inc.,Nostrand Ave,Brooklyn,NY,11229,"Nostrand Ave
Brooklyn, NY 11229
(40.60497952400004, -73.94274240399994)"
Westchester,Grocery,H & A Convenience Corp,West 1st Street,Mount Vernon,NY,10550,"West 1st Street
Mount Vernon, NY 10550
(40.91000170600006, -73.84350752399996)"
New York,Pharmacy Only,Duane Reade #14398,1st Ave,New York,NY,10021,"1st Ave
New York, NY 10021
(40.76812912400004, -73.95575796499998)"
Seneca,Grocery,Ovid Big M,Main Street,Ovid,NY,14521,"Main Street
Ovid, NY 14521
(42.675560079000036, -76.82292590999998)"
Chautauqua,Grocery w/ Pharmacy inside,Tops Market #264,Vineyard Dr,Dunkirk,NY,14048,"Vineyard Dr
Dunkirk, NY 14048
(42.45859666600006, -79.31836027099996)"
Bronx,Grocery,Felu Grocery Corp.,Burke Avenue,Bronx,NY,10469,"Burke Avenue
Bronx, NY 10469
(40.87117310300005, -73.85209388399994)"
Bronx,Grocery,Los Castillos Mini Market Corp,University Avenue,Bronx,NY,10453,"University Avenue
Bronx, NY 10453
(40.854830236000055, -73.91114493499998)"
Livingston,Grocery,West's Shurfine Food Mart,Main St,Livonia,NY,14487,"Main St
Livonia, NY 14487
(42.82175893600004, -77.66526335799995)"
Queens,Grocery,"Kelvin Grocery & Deli, Inc.",Cornaga Avenue,Far Rockaway,NY,11691,"Cornaga Avenue
Far Rockaway, NY 11691
(40.60223631900004, -73.75422994499996)"
